date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:49:46	23200/23200	---M--	200	added ('OK')	font/woff2	date:Mon,%2018%20Feb%202019%2012:08:05%20GMT	https://www.technex.in/static/index19/Geometria-Bold.woff2	D:/@WEB/!!technix/technix/www.technex.in/static/index19/Geometria-Bold.woff2	(from https://www.technex.in/static/index19/style/style219.css)
14:49:48	45951/45951	---MCZ	200	added ('OK')	application/font-woff	date:Mon,%2018%20Feb%202019%2012:08:05%20GMT	https://www.technex.in/static/index19/Geometria-Bold.woff	D:/@WEB/!!technix/technix/www.technex.in/static/index19/Geometria-Bold.woff	(from https://www.technex.in/static/index19/style/style219.css)
14:49:48	19472/19472	---M--	200	added ('OK')	font/woff2	date:Mon,%2018%20Feb%202019%2012:08:05%20GMT	https://www.technex.in/static/index19/Mont-Bold.woff2	D:/@WEB/!!technix/technix/www.technex.in/static/index19/Mont-Bold.woff2	(from https://www.technex.in/static/index19/style/style219.css)
14:49:49	24588/24588	---MCZ	200	added ('OK')	application/font-woff	date:Mon,%2018%20Feb%202019%2012:08:05%20GMT	https://www.technex.in/static/index19/Mont-Bold.woff	D:/@WEB/!!technix/technix/www.technex.in/static/index19/Mont-Bold.woff	(from https://www.technex.in/static/index19/style/style219.css)
14:49:50	22144/22144	---M--	200	added ('OK')	font/woff2	date:Mon,%2018%20Feb%202019%2012:08:05%20GMT	https://www.technex.in/static/index19/MullerLight.woff2	D:/@WEB/!!technix/technix/www.technex.in/static/index19/MullerLight.woff2	(from https://www.technex.in/static/index19/style/style219.css)
14:49:50	36360/36360	---MCZ	200	added ('OK')	application/font-woff	date:Mon,%2018%20Feb%202019%2012:08:05%20GMT	https://www.technex.in/static/index19/MullerLight.woff	D:/@WEB/!!technix/technix/www.technex.in/static/index19/MullerLight.woff	(from https://www.technex.in/static/index19/style/style219.css)
14:49:51	24716/24716	---M--	200	added ('OK')	font/woff2	date:Mon,%2018%20Feb%202019%2012:08:05%20GMT	https://www.technex.in/static/index19/MullerRegular.woff2	D:/@WEB/!!technix/technix/www.technex.in/static/index19/MullerRegular.woff2	(from https://www.technex.in/static/index19/style/style219.css)
14:49:51	32352/32352	---MCZ	200	added ('OK')	application/font-woff	date:Mon,%2018%20Feb%202019%2012:08:05%20GMT	https://www.technex.in/static/index19/MullerRegular.woff	D:/@WEB/!!technix/technix/www.technex.in/static/index19/MullerRegular.woff	(from https://www.technex.in/static/index19/style/style219.css)
14:49:52	25440/25440	---M--	200	added ('OK')	font/woff2	date:Mon,%2018%20Feb%202019%2012:08:05%20GMT	https://www.technex.in/static/index19/MullerMedium.woff2	D:/@WEB/!!technix/technix/www.technex.in/static/index19/MullerMedium.woff2	(from https://www.technex.in/static/index19/style/style219.css)
14:49:52	33516/33516	---MCZ	200	added ('OK')	application/font-woff	date:Mon,%2018%20Feb%202019%2012:08:05%20GMT	https://www.technex.in/static/index19/MullerMedium.woff	D:/@WEB/!!technix/technix/www.technex.in/static/index19/MullerMedium.woff	(from https://www.technex.in/static/index19/style/style219.css)
